"No.","Time","Source","Src Port","Destination","Des Port","Protocol","Length","Info"
"20513","2023-09-10 18:19:53.588431","14.0.0.120","37736","10.0.0.112","8080","TCP","66","[TCP Keep-Alive] 37736  >  8080 [ACK] Seq=1831 Ack=10416 Win=64128 Len=0 TSval=429652085 TSecr=3538281015"
"20514","2023-09-10 18:19:53.588602","10.0.0.112","8080","14.0.0.120","37736","TCP","66","[TCP Keep-Alive ACK] 8080  >  37736 [ACK] Seq=10416 Ack=1832 Win=64128 Len=0 TSval=3538291037 TSecr=429642063"
"20515","2023-09-10 18:19:53.683855","14.0.0.120","41404","10.0.0.112","8080","TCP","66","[TCP Keep-Alive] 41404  >  8080 [ACK] Seq=336 Ack=1460 Win=64128 Len=0 TSval=429652181 TSecr=3538281017"
"20516","2023-09-10 18:19:53.683866","14.0.0.120","41388","10.0.0.112","8080","TCP","66","[TCP Keep-Alive] 41388  >  8080 [ACK] Seq=334 Ack=519 Win=64128 Len=0 TSval=429652181 TSecr=3538281016"
"20517","2023-09-10 18:19:53.683977","10.0.0.112","8080","14.0.0.120","41404","TCP","66","[TCP Keep-Alive ACK] 8080  >  41404 [ACK] Seq=1460 Ack=337 Win=64896 Len=0 TSval=3538291133 TSecr=429642065"
"20518","2023-09-10 18:19:53.683979","10.0.0.112","8080","14.0.0.120","41388","TCP","66","[TCP Keep-Alive ACK] 8080  >  41388 [ACK] Seq=519 Ack=335 Win=64896 Len=0 TSval=3538291133 TSecr=429642064"
"20519","2023-09-10 18:19:56.459956","14.0.0.120","37736","10.0.0.112","8080","HTTP","412","GET /manager HTTP/1.1 "
"20520","2023-09-10 18:19:56.460931","10.0.0.112","8080","14.0.0.120","37736","HTTP","206","HTTP/1.1 302 Found  [Last Chunk]"
"20521","2023-09-10 18:19:56.465429","14.0.0.120","37736","10.0.0.112","8080","HTTP","413","GET /manager/ HTTP/1.1 "
"20522","2023-09-10 18:19:56.478264","10.0.0.112","8080","14.0.0.120","37736","HTTP","221","HTTP/1.1 302 Found "
"20523","2023-09-10 18:19:56.482792","14.0.0.120","37736","10.0.0.112","8080","HTTP","417","GET /manager/html HTTP/1.1 "
"20524","2023-09-10 18:19:56.484085","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=10711 Ack=2876 Win=64128 Len=1448 TSval=3538293933 TSecr=429654980 [TCP PDU reassembled in 20525]"
"20525","2023-09-10 18:19:56.484097","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20526","2023-09-10 18:19:56.484639","14.0.0.120","37736","10.0.0.112","8080","TCP","66","37736  >  8080 [ACK] Seq=2876 Ack=13467 Win=64128 Len=0 TSval=429654981 TSecr=3538293933"
"20527","2023-09-10 18:20:03.587261","10.0.0.112","8080","14.0.0.120","41388","TCP","66","8080  >  41388 [FIN, ACK] Seq=519 Ack=335 Win=64896 Len=0 TSval=3538301036 TSecr=429642064"
"20528","2023-09-10 18:20:03.587566","14.0.0.120","41388","10.0.0.112","8080","TCP","66","41388  >  8080 [FIN, ACK] Seq=335 Ack=520 Win=64128 Len=0 TSval=429662084 TSecr=3538301036"
"20529","2023-09-10 18:20:03.587723","10.0.0.112","8080","14.0.0.120","41404","TCP","66","8080  >  41404 [FIN, ACK] Seq=1460 Ack=337 Win=64896 Len=0 TSval=3538301037 TSecr=429642065"
